METADATACOMPONENTID  METADATACOMPONENTNAME              METADATACOMPONENTTYPE  REFMETADATACOMPONENTID  REFMETADATACOMPONENTNAME         REFMETADATACOMPONENTTYPE
01p1U00000LeIf6QAF   BotResponse                        ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfBQAV   HandlerAddTwoNumbers               ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfCQAV   HandlerCostCenter                  ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfDQAV   HandlerEmployeeId                  ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfEQAV   HandlerFileUpload                  ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfFQAV   HandlerFindAccount                 ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfGQAV   HandlerFindContact                 ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfHQAV   HandlerFindProperties              ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfIQAV   HandlerFindPropertiesByBedrooms    ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfJQAV   HandlerHello                       ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfKQAV   HandlerHelp                        ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfLQAV   HandlerHelpTopic                   ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfMQAV   HandlerImageBasedSearch            ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfNQAV   HandlerMyOpenCases                 ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfOQAV   HandlerNext                        ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfPQAV   HandlerPipeline                    ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfQQAV   HandlerQuarter                     ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfRQAV   HandlerSOQL                        ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfSQAV   HandlerTopOpportunities            ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIfTQAV   HandlerTravelApproval              ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
01p1U00000LeIf3QAF   BotMessage                         ApexClass              01p1U00000LeIf4QAF      BotMessageButton                 ApexClass
01p1U00000LeIfHQAV   HandlerFindProperties              ApexClass              01p1U00000LeIf4QAF      BotMessageButton                 ApexClass
01p1U00000LeIfLQAV   HandlerHelpTopic                   ApexClass              01p1U00000LeIf4QAF      BotMessageButton                 ApexClass
01p1U00000LeIfTQAV   HandlerTravelApproval              ApexClass              01p1U00000LeIf4QAF      BotMessageButton                 ApexClass
01p1U00000LeIf3QAF   BotMessage                         ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfEQAV   HandlerFileUpload                  ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfFQAV   HandlerFindAccount                 ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfGQAV   HandlerFindContact                 ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfHQAV   HandlerFindProperties              ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfIQAV   HandlerFindPropertiesByBedrooms    ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfMQAV   HandlerImageBasedSearch            ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfNQAV   HandlerMyOpenCases                 ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfOQAV   HandlerNext                        ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfRQAV   HandlerSOQL                        ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfSQAV   HandlerTopOpportunities            ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIfTQAV   HandlerTravelApproval              ApexClass              01p1U00000LeIf5QAF      BotRecord                        ApexClass
01p1U00000LeIezQAF   BotController                      ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIf1QAF   BotHandler                         ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfBQAV   HandlerAddTwoNumbers               ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfCQAV   HandlerCostCenter                  ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfDQAV   HandlerEmployeeId                  ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfEQAV   HandlerFileUpload                  ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfFQAV   HandlerFindAccount                 ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfGQAV   HandlerFindContact                 ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfHQAV   HandlerFindProperties              ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfIQAV   HandlerFindPropertiesByBedrooms    ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfJQAV   HandlerHello                       ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfKQAV   HandlerHelp                        ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfLQAV   HandlerHelpTopic                   ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfMQAV   HandlerImageBasedSearch            ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfNQAV   HandlerMyOpenCases                 ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfOQAV   HandlerNext                        ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfPQAV   HandlerPipeline                    ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfQQAV   HandlerQuarter                     ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfRQAV   HandlerSOQL                        ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfSQAV   HandlerTopOpportunities            ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
01p1U00000LeIfTQAV   HandlerTravelApproval              ApexClass              01p1U00000LeIf6QAF      BotResponse                      ApexClass
0661U000004rJLQQA2   DreamHouseSampleData               ApexPage               01p1U00000LeIf8QAF      DreamHouseSampleDataController   ApexClass
01p1U00000LeIfAQAV   EinsteinVisionControllerTest       ApexClass              01p1U00000LeIf9QAF      EinsteinVisionController         ApexClass
01p1U00000LeIfMQAV   HandlerImageBasedSearch            ApexClass              01p1U00000LeIf9QAF      EinsteinVisionController         ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfBQAV      HandlerAddTwoNumbers             ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfCQAV      HandlerCostCenter                ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfDQAV      HandlerEmployeeId                ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfFQAV      HandlerFindAccount               ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfGQAV      HandlerFindContact               ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfHQAV      HandlerFindProperties            ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfIQAV      HandlerFindPropertiesByBedrooms  ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfJQAV      HandlerHello                     ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfKQAV      HandlerHelp                      ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfLQAV      HandlerHelpTopic                 ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfNQAV      HandlerMyOpenCases               ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfOQAV      HandlerNext                      ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfPQAV      HandlerPipeline                  ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfQQAV      HandlerQuarter                   ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfRQAV      HandlerSOQL                      ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfSQAV      HandlerTopOpportunities          ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIfTQAV      HandlerTravelApproval            ApexClass
01p1U00000LeIf9QAF   EinsteinVisionController           ApexClass              01p1U00000LeIfUQAV      HttpFormBuilder                  ApexClass
01p1U00000LeIf9QAF   EinsteinVisionController           ApexClass              01p1U00000LeIfVQAV      JWT                              ApexClass
01p1U00000LeIfAQAV   EinsteinVisionControllerTest       ApexClass              01p1U00000LeIfVQAV      JWT                              ApexClass
01p1U00000LeIfWQAV   JWTBearerFlow                      ApexClass              01p1U00000LeIfVQAV      JWT                              ApexClass
01p1U00000LeIf9QAF   EinsteinVisionController           ApexClass              01p1U00000LeIfWQAV      JWTBearerFlow                    ApexClass
01p1U00000LeIfYQAV   LIFXControllerTest                 ApexClass              01p1U00000LeIfXQAV      LIFXController                   ApexClass
01p1U00000LeIfaQAF   PostPriceChangeToSlackTest         ApexClass              01p1U00000LeIfZQAV      PostPriceChangeToSlack           ApexClass
01p1U00000LeIfcQAF   PropertyControllerTest             ApexClass              01p1U00000LeIfbQAF      PropertyController               ApexClass
01p1U00000LeIfbQAF   PropertyController                 ApexClass              01p1U00000LeIfdQAF      PropertyPagedResult              ApexClass
01p1U00000LeIfcQAF   PropertyControllerTest             ApexClass              01p1U00000LeIfdQAF      PropertyPagedResult              ApexClass
01p1U00000LeIffQAF   PushPriceChangeNotificationTest    ApexClass              01p1U00000LeIfeQAF      PushPriceChangeNotification      ApexClass
01p1U00000LeIfiQAF   SlackOpportunityPublisherTest      ApexClass              01p1U00000LeIfhQAF      SlackOpportunityPublisher        ApexClass
3011U000000hLLsQAM   Opportunity_Status_Change-1        Flow                   01p1U00000LeIfhQAF      SlackOpportunityPublisher        ApexClass
3011U000000hLLtQAM   Post_Price_Changes_to_Slack-1      Flow                   01p1U00000LeIfZQAV      PostPriceChangeToSlack           ApexClass
3011U000000hLLuQAM   Price_Change_Push_Notification-1   Flow                   01p1U00000LeIfeQAF      PushPriceChangeNotification      ApexClass
0Ad1U000002nrfhSAA   EinsteinVision.cmp                 AuraDefinition         01p1U00000LeIf9QAF      EinsteinVisionController         ApexClass
0Ad1U000002nrfnSAA   EinsteinVisionDataset.cmp          AuraDefinition         01p1U00000LeIf9QAF      EinsteinVisionController         ApexClass
0Ad1U000002nrfuSAA   SimilarProperties.cmp              AuraDefinition         01p1U00000LeIfbQAF      PropertyController               ApexClass
0Ad1U000002nrgaSAA   PropertyListDaysOnMarketChart.cmp  AuraDefinition         01p1U00000LeIfbQAF      PropertyController               ApexClass
0Ad1U000002nrgkSAA   PropertyTileList.cmp               AuraDefinition         01p1U00000LeIfbQAF      PropertyController               ApexClass
0Ad1U000002nrgqSAA   Bot.cmp                            AuraDefinition         01p1U00000LeIezQAF      BotController                    ApexClass
0Ad1U000002nrhXSAQ   EinsteinVisionDashboard.cmp        AuraDefinition         01p1U00000LeIf9QAF      EinsteinVisionController         ApexClass
0Ad1U000002nrhgSAA   SmartLights.cmp                    AuraDefinition         01p1U00000LeIfXQAV      LIFXController                   ApexClass
Total number of records retrieved: 139.
